text,Congestion,Customer_interface,Delay,Miscellaneous,Not_applicable,Personnel_attitude,Physical_accessibility,Pricing,Refusal_cancellation_refund,Safety,Unavailability_inadequacy,Vehicle_utility_condition
"@USER Took a ride by autorickshaw (Bangalore) on Feb 8, initially selected payment through credit card, transaction failed and I paid the driver the full amount in cash. I wrote an email to Uber support. They came back with a solution - pay 60% again to clear the dues!!",0,1,0,0,0,0,0,0,1,0,0,0
@USER @USER @USER @USER @USER Sir please kindly approve interstate Agreement KSRTC and Apsrtc regular service increases from Karnataka and Andhra borders passenger facing a lot problems in private buses from Bangalore to Kadapa madanapalle routes please kindly release Gazette notification from government.,0,0,0,1,0,0,0,0,0,0,1,1
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER sir please kindly look into interstate railway line and please kindly increase Kolar memu train from Kolar to ksr Bangalore devanahalli via chikbalapur chintamani Yelahanka Bangalore devanahalli Kia airport route it's helpful for students,0,0,0,0,0,0,0,0,0,0,1,0
@USER @USER @USER @USER @USER sir please kindly look into interstate railway line and please kindly increase Kolar memu train from Kolar to ksr Bangalore devanahalli via chikbalapur chintamani Yelahanka Bangalore devanahalli Kia airport route it's helpful for students,0,0,0,0,0,0,0,0,0,0,1,0
@USER @USER @USER @USER @USER This is very sad what's going in Bangalore are women's really safe? @USER instead of helping her you guys are threatening her shame on uber company plz help her,0,0,0,0,0,0,0,0,0,1,0,0
I literally spent more time (to be precise 1.5 hours) waiting for the Uber at the Bangalore Airport than in the air coming from Mumbai. 🤯 @USER Can you atleast display the waiting time? Or let the users know if the cabs are not available? HTTPURL,0,0,1,0,0,0,0,0,0,0,1,0
"@USER There is no space in Indian cities. I rarely used my car in Bangalore, due to traffic, parking issues. I was comfortable using metro and city bus. And sometime by walk.",1,0,0,0,0,0,0,0,0,0,0,0
@USER Respected MP sir day by day our kolar railway division is going under week zone.Please wake up and focus to develop railway in our district we are the daily travellers to Bangalore and currently there are lot of shotage buses from the evening time.,0,0,0,0,0,0,0,0,0,0,1,1
"@USER @USER Almost you people have stopped all passenger trains which were running from Hubballi - Bangalore. Which were running before COVID. Now, slowly trying to Stop few passenger trains which are running after COVID by temporarily canceling and then permanently.",0,0,0,0,0,0,0,0,1,0,1,0
@USER @USER @USER @USER @USER @USER @USER Are your driver's also following the new trend of abusing customers during the ride ? new trend happening in Bangalore! Shall one book Uber for ease of transport or to get abused ???,0,0,0,0,0,1,0,0,0,0,0,0
@USER Hello Rapido ..we are facing in Bangalore..some Auto drivers are still harassing and scolding Rapido drivers in Bangalore . kindly look into it and resolve the issue ..so we can take orders and ride safely..,0,0,0,0,0,1,0,0,0,0,0,0
"Among the cities where I have used Ola and Uber, Bangalore is the only city where the driver refuses to switch on AC.",0,0,0,0,0,0,0,0,0,0,0,1
@USER @USER @USER @USER @USER The pace at which bullet train is built I wish same effort is given to Bangalore suburban railway.. it stands almost at 2-3%… 🤦‍♀️🤦‍♀️,0,0,0,0,0,0,0,0,0,0,1,1
"You go to any damn RTO in Bangalore you can get a license without giving a test. But if you go to remove the hypothecation of your car, be sure to visit 3 times if you don’t exchange cash.",0,1,0,1,0,0,0,0,0,0,0,0
@USER every time I take a ride in Bangalore it is something new. Heights of ridiculousness today when the driver says “Uber new rule is no AC” and drove in a vehicle that definitely was ~40C inside. Getting a bit absurd folks.,0,0,0,0,0,0,0,0,0,0,0,1
@USER @USER @USER Holliganism by Uber driver jn cahoots with Uber Representatives at Deve Gowda Airport Bangalore. No tracking mechanism of cars who are on open codes. Serious harassment and unsafe for women,0,0,0,0,0,0,0,0,0,1,0,1
"@USER I hate bus travel from Bangalore - Pune, but that's bettee if we dont get 2nd AC... Sleeper is like unreserved, eveeyone come and sir.. We have to fight...and transgender every station",0,0,0,1,0,0,0,0,0,1,0,0
@USER @USER I have just booked an Ola in Bangalore to Airport. Its Ola mini. Driver refused to switch on the AC. I want to know is AC isnt included in Ola mini?,0,0,0,0,0,1,0,0,0,0,0,1
Cab drivers say that @USER has asked them to keep Air conditioning in the cabs off if they want to make more money. And Ola customer Service not reachable. #Bangalore While customers pay Rs 40 per km,0,0,0,0,0,1,0,0,0,0,0,1
"@USER Frankly speaking I have been to many city but found Bangalore as most racist,i stopped taking public transport in Bangalore if you travel with bus conductor will never return change if you talk in English or Hindi they show arrogance only option is cab no need of conversation",0,0,0,0,0,1,0,0,0,0,0,0
"@USER @USER @USER @USER @USER @USER Tirupati- Secunderabad, Bangalore-Secunderabad vande bharat trains launch date sir ? Why delaying these routes ?",0,0,1,1,0,0,0,0,0,0,0,0
"No single @USER @USER vehicle turns on the Aircon even after requesting in bangalore. Amidst the heat and dust , this is the least they can do!",0,0,0,0,0,1,0,0,0,0,0,1
@USER @USER @USER @USER Sir please kindly increase passenger memu train from Kolar to ksr Bangalore devanahalli Kia airport route huge demand for daily traveling passenger from these routes please kindly extend All airport memu train upto chikbalapur it's helpful for students daily traveling passenger,0,0,0,0,0,0,0,0,0,0,1,0
@USER flight number G8-325Mumbai to Bangalore flight got delayed more than 5hours. I would not recommend anybody to fly in #gofirstairways it is my #lastgoflight. I feel @USER is better. @USER @USER @USER HTTPURL,0,0,1,0,0,0,0,0,0,0,0,0
"This is condition of sleeper coach in train nos 12296 , sanghamitra express , which run daily from bangalor to Danapur and Danapur to bangalore its a journey of about 40 hrs and more and people suffer a lot in this route if some one is viewing my tweet please help people. HTTPURL",0,0,0,1,0,0,0,0,0,0,0,1
Worst bus ticket booking service @USER I booked the ticket on 9th March 2023 to go from Nellore to Bangalore on 13th March 2023...on 13th March I went to the boarding point and got to know that the booked bus got cancelled....,0,1,0,0,0,0,0,0,1,0,0,0
"@USER @USER @USER @USER @USER @USER Due to indifference of @USER India, Tpty-Pakala-KPD line will lose its importance soon. Penukonda-DMM, GNT-GTL doubling are progressing at a rapid pace. Future trains from Vijayawada/Howrah side to Bangalore including Vande Bharat trains will be run on GNT-GY-DMM route",0,0,0,1,0,0,0,0,0,0,0,0
@USER cancel your service in Bangalore. Most of the drivers I found cancelled the trip by themselves. Learn something from @USER @USER drivers are much better than @USER,0,0,0,0,0,0,0,0,1,0,0,0
@USER I had similar experience in Bangalore. One of Fellow passenger in Bus asked me to speak in Kannada . I told him I know German &amp; if I tell you to speak in German how you will feel. Only fool can behave like that auto-wallah. No decent human being does such things.,0,0,0,0,0,1,0,0,0,0,0,0
"@USER @USER @USER @USER BMRCL must execute metro &amp; suburban rail projects as their land acquisition policy sees hardly any resistance. Also, as land is acquired for rail projects to accommodate future growth, GoK can almost immediately handover land in Bangalore when IR wants to double its trunk lines",0,0,0,1,0,0,0,0,0,0,1,0
"@USER train no 22626, pnr 4557615889, KPD to MAS, 13/3/2023. Why is there so much jerk in Double ducker train. Passenger trains are much better than double decker Bangalore. Every 2 mins there are so many violent jerks, we are premium passengers and need your to answer.",0,0,0,0,0,0,0,0,0,0,0,1
"Recently booked @USER from Bangalore airport. On reaching the airport late night,came to know that the car was located 20 kms away. Zoom car told to book the cab and that they will refund the money to and fro the airport. Still awaiting refund and no one is answering. HTTPURL",0,0,0,0,0,0,0,0,1,0,0,0
"Hello, @USER There is a wrong case registered on my bike. The fact is the vehicle is not used in Bangalore since the day I purchased it, it is being used in Mandya. The vehicle number is ""KA05JG9103"" and Notice No. is ""34352294"". Please provide the Violation image.",0,0,0,1,0,0,0,0,0,0,0,0
"@USER Once I asked an auto driver to put the meter on and he started scolding me why you people migrate to Bangalore.. such things you can see when you ask the auto driver to put the meter on.. thanks to OLA/UBER, no longer such pains..",0,0,0,0,0,1,0,0,0,0,0,0
@USER @USER @USER @USER @USER @USER @USER @USER please kindly increase regular service Apsrtc And KSRTC regular service from Karnataka and Andhra borders from Bangalore to Kadapa madanapalle tirupati via chintamani routes daily HTTPURL,0,0,0,0,0,0,0,0,0,0,1,0
@USER @USER IN weekends KSRTC buses chikbalapur division chintamani depo KSRTC buses from Bangalore to Kadapa madanapalle routes not operating from past 1 month passenger facing a lot problems to travel please kindly provide strictly rules from these routeplease HTTPURL,0,0,0,0,0,0,0,0,0,0,1,0
I came from Chennai to Bangalore yesterday morning by VB. Train arrived late by 40 minutes at BLR. Had an unscheduled stop at Bangarapet for 30 minutes,0,0,1,0,0,0,0,0,0,0,0,0
@USER UberGo drivers refuse to run AC - A regular issue at Bangalore Airport- Uber ground staff hand in glove,0,0,0,0,0,1,0,0,0,0,0,1
"In one of my first few Bangalore visits some 5 years back one Ola driver demanded cash for a credit card payment, inspite the app showing otherwise. He spoke only in Kannada and refused to budge. I called my co founder who spoke in Kannada and nothing changed. Had to pay cash.…",0,0,0,0,0,1,0,0,0,0,0,0
"@USER @USER Clearly you do not live in Bangalore and have no idea of the ground realities. Here, auto and taxi drivers hate you even before you've entered their vehicle. Most of them are spoiling for a fight and as a woman especially, you know better than to engage with them",0,0,0,0,0,1,0,0,0,0,0,0
@USER @USER These workers go back to their homes once in a year. There is only Karnataka Express with Non-AC coaches from Bangalore to Delhi taking the shortest route. People have to suffer because you want trains from Hubli. Railways has become Sub-Standard driven by regionalism &amp; politics.,0,0,0,0,0,0,0,0,0,0,1,0
"@USER @USER Further, the trains from Bangalore to Delhi that go via Hubli takes 10-11 hours more than what would be through the shortest route. Bangalore is a place with almost 1 crore population. It comprises of many North Indian workers who work on daily wages.",0,0,0,0,0,0,0,0,0,0,1,0
"@USER @USER There are 5 trains from Hubli to Delhi, out of which 4 are originating from Bangalore and Mysore. How many more trains do you want? Trains originating from Bangalore is not a KSRTC bus. By your logic, if there are flights originating from Bangalore, they must go via Hubli HTTPURL",0,0,0,1,0,0,0,0,0,0,0,0
"@USER @USER Sir, I'm travelling in double decker train from Chennai to Bangalore, this C1 couch was full of Mosquitoes, there are no attender, need your help to escalate PNR - 4765309134. Thank you",0,0,0,0,0,0,0,0,0,0,0,1
@USER Why OLA do not have any control of the drivers. Inspite of so many cabs and auto around none of them were accepting rides at KSR Bangalore city railway station today morning. Let all know what penalty you are levying on drivers if they keep cancelling rides,0,0,0,0,0,1,0,0,1,0,0,0
@USER @USER @USER I traveling from smvt Bangalore to Guwahati sf express but this train is late 3 hours and for this train i can't catch my another train from Guwahati to forkating. Tell me how to file TDR,0,0,1,0,0,0,0,0,0,0,0,0
"It's 2:03 AM and people are waiting for taxis at New Bangalore Airport. Something very illogical, I still don't understand as it is still under construction Airport. No facility of OLA/UBER people are waiting in line for hours. What about the safety about people in night HTTPURL",0,0,0,0,0,0,0,0,0,1,1,0
@USER The rails are too late sir please clear the problem quickly between Hubballi to Bangalore especially Golgumaz exp it was too late 2 to 2:30 hours train number 16536,0,0,1,0,0,0,0,0,0,0,0,0
@USER no blankets provided in Kundapur to Bangalore ambari dream class 2041CDPBNG bus no KA57 F 3918 worst service.,0,0,0,0,0,0,0,0,0,0,0,1
@USER @USER traveling by chennai Bangalore mail. S6 COACH. STINKING UNABLE TO TEAVEL would appreciate if ordinary trains also are focused to improve hygienic conditions. @USER,0,0,0,0,0,0,0,0,0,0,0,1
"@USER pathetic service in Bangalore T1 airport. Waiting period is more than 40 mins, is this some kind of joke ?#ubersucks",0,0,1,1,0,0,0,0,0,0,1,0
What is purpose of having a schedule for Indian railways if it is not met on time always Shatabdi train running late by 1 hrtoday chennai bangalore shadabdi is not a free service not accepted and not fair @USER @USER @USER @USER @USER,0,0,1,0,0,0,0,0,0,0,0,0
"@USER Most of the auto drivers in Bangalore are in a ready to fight mood, why? Uber is a Problem, Ola is Problem, Rapido is a problem, Ola money is a problem, offline booking 4x rates, take or leave, now language too. 🥲",0,0,0,0,0,1,0,0,0,0,0,0
Dear @USER we just spent worst 1 hour of life. I booked a cab for my relatives and they are new to Bangalore. Driver was drunk and cancelled ride mid way and asked to go offline. We had no option but to pray. On top of that you charged cancellation fee. Great! HTTPURL,0,0,0,0,0,1,0,0,0,0,0,0
"An auto driver in Bangalore is assaulting a ""Rapido driver"" from North East. He has not only smashed the mobile handset of the hapless guy from North East, but has also used racist slurs against him. 1/2",0,0,0,0,0,1,0,0,0,1,0,0
"@USER @USER @USER @USER @USER no train connectivity from central Odisha(DhenkanalTalcher, Angul,Rairakhol)to southern India.A train should be introduced in the route of BBSR/CTC to Bangalore via Dkl,tlhr, Angl, bona,rair,sbp,Blgr,Budm,tig",0,0,0,0,0,0,0,0,0,0,1,0
"I got my bike yesterday at bangalore SBC yesterday after 11 days and its number plate is missing , self is broken n few dents on petrol bank kindly suggest what to do",0,0,0,1,0,0,0,0,0,0,0,0
@USER We need better train connectivity between Bangalore and Mumbai #VandeBharatExpress @USER @USER,0,0,0,0,0,0,0,0,0,0,1,0
@USER Bangalore Auto drivers are obsessed with rapido and people who ask them to speak another language,0,0,0,0,0,1,0,0,0,0,0,0
"The AC is not working in C3 coach of 22626, Bangalore to Chennai train. My PNR number is 4345065247. Please look into it immediately @USER",0,0,0,0,0,0,0,0,0,0,0,1
"so yesterday n8 i came from my home town to bangalore by train,and i got a auto at smvt station,they told 700,i told not more than 500,so they agreed on that ,while coming this auto driver again told pay 100 extra becoz going coming was 32 kms as drop location was near bommanhali",0,0,0,0,0,1,0,1,0,0,0,0
"@USER All these qualities are limited to few trains like Vande Bharat, Shatabdi and Tejas. Took a non super fast train to Bangalore (Hubli express) and rats were roaming around in the coach, door hinge of an AC 2 tier coach was broken, and no linen was provided.",0,0,0,0,0,0,0,0,0,0,0,1
@USER @USER @USER @USER @USER @USER @USER Increasing bus can only leads to more expenses and more traffic as we alredy know there are 1.2 cr vehicals are in bangalore. What we need is robust public transport were in metro station and bmtc station are in same place,1,0,0,0,0,0,0,0,0,0,1,0
@USER Bangalore is already clogged. Adding 10000 buses will increase road jams and pollution..,1,0,0,0,0,0,0,0,0,0,0,0
@USER Bangalore auto driver’s and bus conductors are really very arrogant same thing happen with me many times,0,0,0,0,0,1,0,0,0,0,0,0
"@USER @USER @USER My 1st exp of needless aggression, boorish behavior &amp; language chauvinism happened when as a first time tourist in Bangalore I boarded a BTS bus from Majestic to Vidhana Soudha in 1988. The conductor was hostile, abusive &amp; uncooperative the moment he realised i don’t know kananda",0,0,0,0,0,1,0,0,0,0,0,0
"@USER @USER @USER auto driver was humble here? bangalore auto drivers have track record of rowdism. Recently auto driver hit a rapido driver from north east nd said in video that pple from other ""country"" r taking our jobs",0,0,0,0,0,1,0,0,0,1,0,0
@USER @USER @USER @USER @USER @USER Dhanbad - New Delhi daily train and Dhanbad - Bangalore daily train is required urgently. But nothing is done by central government.,0,0,0,0,0,0,0,0,0,0,1,0
"@USER This has to be spirit of India. A metro pillar fell on a bike in Dec in Bangalore and killed a mom and child. Action taken nil, celebrating everything 100%",0,0,0,1,0,0,0,0,0,1,0,0
"@USER Due to indifference of @USER India, Tpty-Pakala-KPD line will lose its importance soon. Penukonda-DMM, GNT-GTL doubling are progressing at a rapid pace. Future trains from Vijayawada/Howrah side to Bangalore including Vande Bharat trains will be run on GNT-GY-DMM route",0,0,0,0,0,0,0,0,0,0,1,0
"We in Bangalore more and more city bus service needed NEEDLESS TO SAY QUALITY CITY BUS SERVICE, right now BMTC is service with junk and unclean busses. We the public of Bangalore deserve BMRCL type neat clean and air condition city bus service",0,0,0,0,0,0,0,0,0,0,1,1
"@USER That’s why people choose Ola Uber for better service and these guys start crying. Bangalore is no more a your land city, it is international now so adapt what is required that crying my land my lang!",0,0,0,0,0,1,0,0,0,0,0,0
@USER @USER sir KSRTC buses from Bangalore to tirupati night Times between 10:00pm to night 12:00pm KSRTC buses not going Kolar mulbagal KSRTC bus stand all buses going by pass road passenger facing a lot problems in Kolar mulbagal KSRTC bus stand take action.,0,0,0,0,0,0,0,0,0,0,1,0
@USER Only been to Bangalore once back in 2019 just backpacking temple towns. Did not speak one word of Hindi and yet these auto driver from the city were vicious and constantly harassed. Decided to just use Uber to stop the nuisance.,0,0,0,0,0,1,0,0,0,0,0,0
Ola @USER Wait time of more than 30 minutes at Bangalore airport. Feeling disappointed ☹️,0,0,1,0,0,0,0,0,0,0,1,0
"@USER @USER sir Bangalore Magadi road work stopped since one year, in many places road digged but not completed at least complete between Nice road and Thavarakere , it is so worst for people travels on bike, in rainy season it will be deadly.",0,0,0,0,0,0,0,0,0,0,1,0
"@USER @USER @USER @USER @USER KANNADA IS OK WITH KSRTC, BMTC, BESCOM, BBMP, BWSSB, AUTO DRIVERS, BUS CONDUCTORS, DRIVERS OF KARNATAKA! I DON'T NEED THESE CORRUPT/ BIGOTS @ MY BANGALORE!😠",0,0,0,1,0,0,0,1,0,0,0,0
"@USER this is common in bangalore auto,bus conductor ,these beggars ask for extra money to the north indians and when they refuse to pay then they start shouting in their kannada.",0,0,0,0,0,1,0,0,0,0,0,0
@USER @USER @USER @USER Kudos to the team. But sad story is @USER proposed Velanganni - Bangalore train is yet to start the service. Please consider the public demands. @USER @USER Bangalore train hard to get. But now it seems SR not giving clearence. HTTPURL,0,0,0,0,0,0,0,0,0,0,1,0
"@USER travelling in train number 12657 PNR 4341957919 chennai to Bangalore now, blankets are not given in B1, will it be given or not",0,0,0,0,0,0,0,0,0,0,0,1
"@USER What's the solution? Footpaths, buses, 200km metro and 200 km suburban. Some of it is being done but footpaths outside of central and old Bangalore is still poor. Need to start fixing that especially around busstops and metro stops.",0,0,0,1,0,0,0,0,0,0,0,0
@USER @USER @USER @USER @USER @USER @USER @USER In the Bangalore auto driver behavior like a rowdy they are misbehaving with customers they didn't care about passengers &amp; on the road rash driving &amp; fighting with Rapido or ubers rider this is very shameful please do the needful.,0,0,0,0,0,1,0,0,0,0,0,0
@USER @USER @USER @USER @USER @USER That video is the proof for decreased buses. Kindly Come to Bangalore For More Proofs,0,0,0,0,0,0,0,0,0,0,1,0
"@USER @USER @USER @USER Many people suffer in Bangalore because of most of worst Auto drivers, 1st they never follow traffic rule, 2nd worst behavior, never respect any passenger 3rd in Ola any emergency situation 10 time they will pick and cancel the rides.. there are many incident worst behavior",0,0,0,0,0,1,0,0,0,0,0,0
"Got looted by #Uber in Bangalore today booked an Uber Auto fare was 140 but he took me on longer route, rode rashly and also I had selected paytm he started acting as if he didn't know and as I have no experience in Uber App I gave him cash by mistake and got charged also",0,0,0,0,0,1,0,0,0,0,0,0
@USER Today am travelling between Chennai &amp; Bangalore by Shatabdi. I am nearing near Bangalore &amp; went into a Toilet to ease myself. Toilet was soiled inside the bowl. Tried flushing but did not work. I tried another Toilet same sad story. Premium Train &amp; Premium Toilet? Sad.,0,0,0,0,0,0,0,0,0,0,0,1
Paytm fraud @USER I booked bus from Goa to Bangalore but the bus was cancelled within 1hr before the boarding time. It’s so shameful and disgusting behaviour of @USER Don’t book from this third party app. I have lost my money around 2000 which was not refunded,0,1,0,0,0,0,0,0,1,0,0,0
@USER Sir ji please use service road .. you will understand the problem... KSRTC buses from Bangalore to mandya have to use service road... the travel time has increased from 2 30 hrs to 2 45 hrs.. to benefit car users you screwed poor people's life who uses public transport ..,0,0,1,0,0,0,0,0,0,0,1,0
@USER This Rapido is hurting auto business in bangalore severely bjp is busy counting 40% commission not bother about the difficulty face by different small shops auto and other businesses,0,0,0,1,0,0,0,0,0,0,0,0
"@USER Hello Mr. Piyush Goyal,Vande Bharat Trains being launched across India. Between Mumbai - Bangalore - Mumbai there has been no fast trains &amp; the railway board is silent. Dont you think between the IT capital &amp; Finance capital fast connectivity should be there? Please",0,0,0,0,0,0,0,0,0,0,1,0
@USER hi I m unable to reach out to you but I m in a ride currently in Bangalore and the driver is refusing to switch on ac and is asking for extra charges need your help cause it’s 30 degrees here and be expects us to travel without ac for more than an hour,0,0,0,0,0,1,0,0,0,0,0,1
#IndianRailways #lahotiak #centralrailways Today 11th March 2023 I'm travelling to Bangalore from Howrah by Duronto Express 12245 &amp; the train stopped at Bhogpur from 11:48am till now delayed more than 3 hrs 48 mins. No update. Worst service ever happened. I want my refund,0,1,1,0,0,0,0,0,0,0,0,0
"We can actually get back at these annoying Bangalore auto drivers, by taking rapido, apparently it's been a bad business for them ever since rapido.",0,0,0,1,0,0,0,0,0,0,0,0
"@USER Who takes auto in a city like Bangalore.? They over charge like crazy. With ola, uber etc no point risking a trip with such folks. And the reality is that in any metro city u would always find its the students, professionals from other states who drive business",0,0,0,0,0,0,0,1,0,0,0,0
@USER Horrifying incident happened yesterday night from Lingasugur to Bangalore sleeper bus (KA36F1496). Some biker threw stone towards driver. Stone hits drivers collarbone but he controlled the situation and avoided big accident. Because of him we all are safe. HTTPURL,0,0,0,0,0,0,0,0,0,1,0,0
This is the pathetic condition of Talguppa - Bangalore city sf express. Train no 20652. Pls look into this @USER HTTPURL,0,0,0,1,0,0,0,0,0,0,0,0
@USER @USER Why should these people suffer like donkeys in train just because you want your regional bias to be fulfilled? There are many trains from Hubli to Delhi and Mumbai. Be happy about it. Rajdhani and Karnataka are the only trains left providing fastest connectivity from Bangalore.,0,0,0,1,0,0,0,0,0,0,0,0
@USER as a public and citizen of bangalore im asking you y u r not questioning auto drivers about meters y they dont use y they dont come to some places to where customer asked this is y uber ola and rapido apps are developed we book in app from anywhere to anywhere,0,0,0,0,0,1,0,1,0,0,0,0
"@USER if the rowdism by auto drivers is legal then everyone can do it right, 4 days back one incident auto driver harassing rapido driver and one month back one auto driver given punch to car driver on road which is published in bad drivers of bangalore youtube channel",0,0,0,0,0,1,0,0,0,0,0,0
@USER @USER @USER @USER The auto drivers have no one to blame but themselves. I am from Bangalore and I have experienced autos charging 100rs for just 3 km. we just decide it's better to walk the small distance and they wonder why they are losing business to Ola and Uber.,0,0,0,0,0,0,0,1,0,0,0,0
"Poor traffic management at Bangalore Ksrtc bus stand,majestic area,few trains from ksr railway station Bangalore at night...pathetic for tamilnadu bound ,kerala bound passengers,businessmen..pls help @USER @USER @USER @USER @USER",1,0,0,0,0,0,0,0,0,0,0,0
@USER @USER @USER @USER @USER On a sunday night same story at Bangalore airport 30% fare difference,0,0,0,0,0,0,0,1,0,0,0,0
"@USER Hi Team, i booked a ticket from Bangalore to chittoor via Make my trip. I haven't got the details of the bus driver. Can you please help?",0,1,0,1,0,0,0,0,0,0,0,0
"@USER @USER Yes. Agreed. However, again I would say the conflict is mainly between auto walas and Rapido irrespective of region. Bangalore has so many people across the country as well as Nepal(good population). The auto wala was probably ignorant",0,0,0,0,0,1,0,0,0,0,0,0
@USER What’s wrong with train number 12786? Stopping every small station and the entire stretch is going dead slow. Worst journey today between Mysore to Bangalore.,0,0,1,0,0,0,0,0,0,0,0,0
"@USER This is a big issue in Bangalore, the normal autowalas ask for 2 Km at least 120-150, they behave like unarmed gundas they always threaten to the rapido auto drivers to not pick at their stand and I have to always pick rapido little far from my pickup point and it feels very bad.",0,0,0,0,0,1,0,0,0,0,0,0
"every auto ride in bangalore feels like a near death experience. my driver made a U-turn in the middle of the highway, caused a traffic jam, hit a mini-truck, and we’re all pretending like nothing happened.🤷🏽‍♀️",0,0,0,0,0,0,0,0,0,1,0,0
@USER bangalore autodrivers r the worst. Experienced rapido drivers always call their passengers away from auto cartels to avoid fights. The pilot in the video must b new to bangalore.,0,0,0,1,0,0,0,0,0,0,0,0
"@USER @USER @USER @USER @USER @USER @USER @USER 4 Lane road is not helping to change the decision for stopping the @USER flight for Bangalore, and Mumbai, what's the use of this infra if no one will be using it? @USER @USER",0,0,0,1,0,0,0,0,0,0,0,0
That ticketless travel in Trains is rampant in non-south Indian staes is common knowledge. But even long distance Volvo buses there are admitting standing passengers. A video grab from Vloger TUBER BASS in Jakhar Travels from udaipur to Bangalore . HTTPURL,0,0,0,1,0,0,0,0,0,0,0,0
"Wow!!! Just installed twitter hoping IRCTC and PMO will look into my issue... We travelled from Yashwanthpura, Bangalore to Kacheguda, Hyderabad on 9th March,2023... Train number 15024... The worst train I have travelled in... I just felt its a waste making reservations so early",0,0,0,1,0,0,0,0,0,0,0,0
"@USER Not only in bangalore, this auto mafia is there in every city, and they harass ola, rapido and uber drivers",0,0,0,0,0,1,0,0,0,0,0,0
"@USER I'll narrate a personal experience. Just few days in Bangalore, I came across this rude driver who entered from the wrong side in a One-way narrow road and refused to budge from front of my car and started shouting in Kannada.",0,0,0,0,0,1,0,0,0,0,0,0
"Hey @USER asking again, is there any update about the unusable farce called Uber Assist and Uber Access that you launched as a token gesture in Bangalore.",0,0,0,1,0,0,0,0,0,0,0,0
"@USER Most auto walas i have seen in bangalore are bunch of rowdies. I have seen them scolding cops also. One actually followed my car to threaten me and said ""bahar se aaya hai aap log, tameez se rehna ka"" ..",0,0,0,0,0,1,0,0,0,0,0,0
@USER This driver wasted my time as after arrival he rejected to drop and abused me. Take actions on him HTTPURL,0,0,0,0,0,1,0,0,1,0,0,0
@USER Dear ola today one of your auto driver behaved very wrong with me. He asked destination after arrival and rejected to drop. You have to train your drivers not to waste our time.And please take necessary actions on the driver. Am attaching the photo of the driver HTTPURL,0,0,0,0,0,1,0,0,1,0,0,0
"@USER Many of these Bangalore auto driver acts like a bunch of street thugs, every time I take rapido i tell them to always drop me off before reaching the mall or the metro station to avoid the auto driver harassing my rapido riders.",0,0,0,0,0,1,0,0,0,0,0,0
