text,sentiment
"@USER Today morning, just 2 days before journey, I was called and informed by Greenline bus service (ph. no. 062914 23548) that instead of boarding from Baguiati, I've to travel 4kms in early morning to Ultadanga to board the Kolkata-Digha bus.",0
"Kolkata's handpulled rickshaws are iconic symbols of the city's vibrant street culture. Known locally as ""টানা রিকশা"" these unique vehicles are still used by locals and tourists alike to navigate the city's narrow alleyways and bustling markets. 

HTTPURL",2
@USER @USER @USER Trichy Railway Junction is legendary icon with 12 platforms has historical significance from British era. Trichy has the legacy of transport Hub. Indigo flight operates Trichy Singapore Kolkata is the classic route for elit,0
@USER @USER Guys booking and getting a vehicle is now a pathetic process. In Kolkata due to the arrogance of the drivers they keep on refusing the rides. Always go for strike etc. never seen in any other cities. Wind up the business or crack down,1
"@USER Please extend the route to Guwahati. One GAU-CCU-BBI flight will be immensely beneficial for all students, service holders, business men &amp; tourists. Now no direct ✈️ between #Bhubaneswar &amp; #Guwahati and minimum layover at #Kolkat",0
@USER These types of accident causing illegal barriers are only there in Kolkata….,1
Kolkata until Mecheda is pathetic and accident prone even if the roads are good because of near population along the highway !,1
@USER @USER @USER @USER The plane might be going to Chennai next and then Kolkata and then back. You want flight crew knowing 6-7 languages?,2
Such a poor service of Spicejet flights from Kolkata. I don’t know if this is a regular thing. The Pune flight is delayed by 5.50hrs and they informed passenger barely 2 hours before the departure time. Can’t imagine if the return flight would be the same @USER HTTPURL,1
"@USER Dear Mr Rahul Bhatia Managing Director Indigo . Best compliments to airline , flight 6E 207 Kolkata -Guwahati and the Indigo arrival staff Ms Kritika and Ms Pooja for finding my Apple IPad ! Please do reward and convey my best your staff !",2
"Flight from Bagdogra to Kolkata got delayed by 3.5hrs firstly and departure time was delayed to 7.10pm. But now they are saying flight got cancelled because the Indian Army didnot give them permission 
 @USER @USER @USER @USER @USER HTTPURL",1
@USER horrible experience..flight got delayed for 5 hrs ..we got information just 45 minutes before departure from Kolkata to Mumbai for 8.40 PM flight ..they are not even arranged stay ..all passengers are tired and frustrated after long day want t,1
"@USER please update your system ASAP. YOU ARE GIVING BOARDING PASS of seat no. 31E for a flight with 30 rows of seats.

Flight no. :- 6439, bangalore to Kolkata 16th March 7:50am",0
"Abu Dhabi: United Arab Emirates’s (UAE) low-cost carrier Air Arabia Abu Dhabi, on Wednesday marked the inauguration of its first flight to Kolkata city in West Bengal, the Emirates News Agency (WAM) reported. The new direct flights between Abu Dhabi International Airport and Kolk HTTPURL",0
"@USER NO SIR,
YOU HAVE CHARGED A SUM OF Rs. 200 EXTRA FROM ALL INCLUSIVE PRICE IN A BOOKED TICKET IN INDIGO FLIGHT FROM KOLKATA TO AGARTALA
SEE MY DM TO YOU AND PLEASE REPLY",0
"@USER @USER @USER @USER There should be flight from Rourkela to Kolkata, Hyderabad and Bangalore too as most of the people will get connectivity from these places and would mark a place for industrial growth as well.",0
@USER @USER i took flight of alliance airline from kolkata -Guwahati # 9l-770 dated 15th March. first they sent msg that flight will get delayed and depart at 6:30PM then they let passenger seat for 25 min without AC and still at they didn’t,1
@USER My Ranchi - Bangalore flight was cancelled by the airline. And Now they have no flights for the same route. Requested for Kolkata - Bangalore flight. It has been more than 30hrs. Customer care making stories. Terrible experience @USER,1
@USER I had booked a ticket last year from Kolkata to Bali with 2 of the tickets booking Id NN783RDLGKGIT47W3890 the flight was not operated I have complained it many times they don’t respond neither do my refund worst experience ever never trust,1
"#airasia #tatagroup #ratantata 
Misbehaving by air Asia staff Bagdogra to Kolkata Flight as on 15/03/2023
4 person cabin baggage allowed 28 kg
But charge extra 4000 whereas we carrying only 10kg",1
"@USER @USER Flight are very expensive but does not affect footfall of passangers from DBR, that's why such companies are doing monopoly, flight are cheap from patna, bagdogra, kolkata, gorakhpur but DBR is case study, why such negligence",1
@USER 21 MAR RGN-CCU sector 8M PNR (check mail from info.ataoffers@USER WAS CANCEL BY AIRLINE I REQUEST YOU TO KINDLY MOVE THE FLIGHT ON 19 MAR 23 FOR ALL PAX ASAP as the pax is need to reach kolkata before 21MAR PLZ DO THE NEEDFUL ASAP,0
@USER this is a fraud and cheat inthe name of booking partner. My Flight from Pune to Kolkata was canceled by @USER . I paid Rs 8098 for the flight. However @USER is refunding only Rs 6700/- insteas of a full refund.@USER,1
@USER yesterday was flyer bom to Kolkata morning 6.05 spice jet flight in flight foringer staff is very rude kindly recruit indian staff those foreigners are dosant have sance,1
"@USER 
Had an amazingly smooth experience checking in and boarding the flight from Kolkata to Mumbai tonight! 
Thank you Mr.Supip Patra for your assistance in helping us get the right seats for my grandmother!",2
"@USER I would like to know if you can carry a power wheelchair using two sealed gel batteries, flight sector Kolkata India - Aizawl - Kolkata India. If you can carry it, I would like to take a ticket from IAD, Washington - to Kolkata - IAD on Air I",0
"@USER hi.. My cousin Md. Rizwan Alam having pnr no
QRK8FG didn't receive his baggage in Kolkata. He boarded the flight No
6E5354 from Mumbai to Kolkata. Plz do the needful.",0
Such a poor service of Spicejet flights from Kolkata. I don’t know if this is a regular thing. The Pune flight is delayed by 5.50hrs and they informed passenger barely 2 hours before the departure time. Can’t imagine if the return flight would be the same @USER HTTPURL,1
"@USER Never travel by this, worst airline ever. First they decide 2 change direct flight from Kolkata 2 Mumbai to a CCU-DEL-MUMBAI transit flight. On asking for other alternative they leave us no option because when asked for refund they were de",1
"Passenger Rajeev Kumar &amp; his family boarded @USER at Kolkata Airport on 7Am PNR NO. GYU9YP/SG for Andman. Flight after reaching Andman did not land and returned to Kolkata Airport. Since 7AM, they are in the flight no food available. Very pathetic service 
Kindly help him",1
"@USER Dear Mr Rahul Bhatia Managing Director Indigo . Best compliments to airline , flight 6E 207 Kolkata -Guwahati and the Indigo arrival staff Ms Kritika and Ms Pooja for finding my Apple IPad ! Please do reward and convey my best your staff !",2
@USER My Flight from Pune to Kolkata for 24th March was canceled by @USER I am trying to get refund of full amount however due to some tech glitch booking is not showing in the app. Thus i am not able initiate the refund (1/2). #yatra,0
@USER one of the worst airline company. Travelling from Kolkata to Guwahati flight scheduled for 7:45 but till now not taken off. Pilot saying it will take more time. @USER @USER please look into it.,1
"#indigo websit. I booked a flight ticket from Kolkata to Guwahati on 13/3/23 at 8pm for 14/3/23 10.30am flight. Payment taken, transaction I’d JPAY88c86b17989a80838 shared to me via mail. No PNR. I called customer care. The executive said they have not received the payment.",0
@USER @USER @USER @USER And if you got a flight from Kolkata to Chennai - announcements will be in Tamil and Bengali - what would you ask for then? Attention seeking at its pathetic worst.,0
"@USER @USER
PNR AS6V9A, BANGALORE TO KOLKATA FLIGHT BOOKING 
URGENT COMPLAINT FOR VOUCHER CODE REDEMPTION ISSUE
AS DISCUSSED WITH VIVEK ON IVR, PLEASE ARRANGE FOR A COMPENSATION And RESOLUTION ASAP 
POOR EXPERIENCE ON YOUR APPLICATION https:",1
"@USER I did during 2006, don't remember the date though.. first ever flight was of Kingfisher.. that too with significant distance of about 2 and half hour.. Mumbai Kolkata. Asked the procedure to @USER ,and a friend.. that time Google/ YouTube",0
"@USER @USER @USER What about people living near Chinar Park Area, Kolkata who are suffering from continuous flight landing!
Loud blast sound of jet engines during landing! Your airport is silent but not the nearby locality!
Can't yo",1
Bad weather @ Bengaluru airport on Sunday played havoc with arr &amp; dep flights yday. Many got delayed. An @USER flight frm Kolkata to @USER had to b diverted to Coimbatore airport b4 it rchd KIA @USER @USER @USER @USER @USER HTTPURL,0
@USER We were very happy with the service received today in flight from Dubai to Kolkata( EK570).My 4 year old son was made to feel very special by one of the flight attendants (named Ofelia) . ♥️♥️Can you please pass our appreciations,2
"This is the second incident in a week of a passenger being caught smoking in the lavatory of an Indian aircraft. On March 5, a 24-year-old woman was arrested for smoking on an Indigo flight 6E-716 from Kolkata to Bengaluru.",1
"@USER Refund for diverted flight pnr c5433q on 12/03/2023. AirAsia unilaterally diverted a direct booked ft from pune to kolkata via bbi without any form of inf to me,except phone call when flight boarding.refusing refund. Complaint lodged with cc t",0
"Thankyou @USER for the flight 6E190 on 12.03.2023 from Kochi to Kolkata. The lady Pilot was excellent, the landing was a perfect 10, the cabin crew were on their toes to serve us. Thankyou to all the crew members.",2
@USER @USER @USER welcome to Kolkata where passengers has to suffer whenever you book the flight form so called carrier SG-242 Spice Jet i.e shit jet awaiting since last 3 hours n not sure when it will take off😂 HTTPURL,1
"@USER Kolkata to Mumbai flight delayed, no clarity regarding boarding from Spice Jet staff. Flight SG242",0
"@USER thanks for your wonderful service I had flight from San Francisco to Kolkata via Mumbai reached Kolkata 40 mins earlier really awesome one request- seems I lost my power bank SFO to Mumbai flight , if you can find it let me know . I will share",2
@USER Nothing wrong with the 'behavior' of the crew. She told what she knows. Perhaps that flight was nxt headed to Kolkata and then to Ahmedabad and then to Hyd'bad. Come to think of it - will cree know all the languages?Embrace &amp; appreciate,2
@USER inconvenience: you reschedule my confirmed flight Kolkata-Mumbai-Amsterdam w/o consultation &amp; now at Mumbai a delay of &gt;4h &amp; you don’t inform in spite of having all communication details. Absolute incompetence,1
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Sir, I have noticed a @USER flight scheduled for the 25th of this month on their website. But,",0
"@USER Sir please 🙏 kindly request to run 02501 up Kolkata Agartala special trian on proper time else we have no option but to go to flight ✈️, every day it runs abnormally late now please release the late HTTPURL",0
@USER I have booked direct flight from Pune to kolkata pnr c5433q departing Pune at 11.50 on 12/03/2023. I have checked in accordingly however it was unilaterally changed to a hopping flight via BBI departing at 17.45.I couldn't travel because of,0
@USER today we are waiting from 3.45 for Flight no SG -491 from Bagdogra to Kolkata now it’s 7.10 pm only 2 attendees are there from Spice jet not giving any answer their say is they are not getting the permission of landing,0
"@USER Is this the way you deal with customers?
Flight no G8-887 from Bengaluru to Kolkata got rescheduled 3 times in a single day!
There are senior citizens,kids, citizens with medical issues and you are playing with them like this?
@USER @",1
"@USER kindly assist as I have a connecting flight to Mumbai via Kolkata and yet the flight hasn't taken off from Guwahati, with only 45 min layover. That too different flights. Flight no. AI0730",0
"@USER Hi My name is Virendra Giri and I had a flight from Kolkata to Bangalore, PNR UN56FF. Because of oversight of timing i missed my flight and I am trying contacting you for help but u guys are so professionally irresponsible there is no numb",1
Paid ₹600 for this pocket size box having 4 cold pieces of nugget size chicken balls which @USER hv named 'Park Street Chicken Cutlet' Sory Park Street &amp; #Kolkata for the insult u hv 2 face #Indigo &amp; it pathetic food reaches new low @USER plz help them😂 #Flight #Food HTTPURL,1
"@USER I took an IndiGo flight from Chennai to Guwahati via Kolkata.
The airhostess couldn't switch between Tamil, Telugu, Odiya, Bangla and Assamese whenever the flight passed over the respective states.
What a shame IndiGo!!",1
@USER my husband travelled in flight 6E6513 yesterday from Kolkata to Bengaluru and his baggage still hasn't arrived with no updates. Multiple customer calls since yesterday and no status. He has international travel in a day. #pathetic #airline #Indi,1
"I had flight to Pune , the flight came from Kolkata to Bhubaneswar, then Bhubaneswar to Bengaluru and then Bengaluru to Pune. So if we go by thid person logic the Airline should have Bengali , Odia ,Kannada and Marathi Air Hostess no ? Pure attention seekers with rowdy mindset. HTTPURL",2
"@USER 
Due to low visibility in Bangalore flight from Kolkata landed over Coimbatore to refuel. HTTPURL",0
"@USER @USER @USER @USER @USER @USER Why can't Indigo hire air hostess who can speak in Kannada?? In a Kolkata flight, they are ready speak in Bengali, English, hindi &amp; also Nepali, but in Bengaluru to Mumbai fl",0
"@USER Hi Vinita, we are sorry for the experience. We understand that the flight was delayed due to reasons beyond our control. The flight has departed from Mumbai and is expected to arrive in Kolkata at 0109 hours. We truly appreciate your kind",0
"@USER Hi Subhrojeet, thank you for reaching out. Unfortunately, we would not be in a position to offer you compensation in Kolkata. Further, we understand that the flight would be departing shortly. (1/2)",0
@USER horrible experience..flight got delayed for 5 hrs ..we got information just 45 minutes before departure from Kolkata to Mumbai for 8.40 PM flight ..they are not even arranged stay ..all passengers are tired and frustrated after long day want t,1
"They are just moving their heads. In the mean time flight for Goa is leaving, they didn't reschedule it to Kolkata. I don't know whether I'll be able to meet my mother. Surely not going to take a vistara flight in my life. This day will be remembered.",1
@USER flight midnigh# UK 773 Mumbai to Kolkata @USER hrs - 11thMar'23 stranded as mid- flight technical glitch n returned back to Mumbai airport. Now family {kid 3 yrs n Sr citizen} - When &amp; how will they land and go home midnight @USER @USER,1
@USER Was on the UK 773 from Mumbai to Kolkata that had to make an emergency landing back in Mumbai. Need to find the next possible flight to Kolkata urgently. Please call me asap. Details on DM.,0
@USER @USER @USER @USER what a pathetic airline booked ticket from Kolkata to Mumbai PNR no S5G6PI flight got canceled tried reaching airline customer support but no one is responding neither compensating for the loss,1
"@USER @USER @USER @USER was pleasantly surprised once on a flight from Guwahati to Kolkata, being told that the crew among other languages had one who spoke Kannada as well :-)",2
"@USER @USER yep, landed at Vizag. Don't know why the flight was listed as a Kolkata- Gaya flight🤔",0
"@USER 
Our flight from Lusaka to Mumbai on 13/3/23 by Ethiopia airlines pnr : bdxeoc and from Mumbai to Kolkata in vistara UK 775 ,last name Biswas on 14/3/23. What will be our PNR please.",0
6E5253 from Kolkata to Gaya HTTPURL Why the #Indigo #flight from Kolkata to Gaya flying in the opposite direction?! #flightradar24 @USER,0
"@USER Booked the Flight to Delhi Kolkata PNR- ISFEKQ, Flight at 5:30 pm but unable to we check in as no seat available showing.
Kindly look into the matter immediately.",0
"@USER @USER PNR CBWPJZ, 4th March, 2023,MOPA to Kolkata. Flight preponed by more than 8hrs and no provision to select other day flight. Very wrong on part of spice jet as I had lot of plans for that 8 hrs which I had to cancel.",1
"@USER @USER @USER @USER So if that flight goes from Bengaluru to kochi , you expect anyone from air hostess to know Malayalam, then if flight goes from kochi to Kolkata then one of airhostess should know Bengali language, is that what",2
@USER @USER @USER @USER The plane might be going to Chennai next and then Kolkata and then back. You want flight crew knowing 6-7 languages?,2
@USER Thanks for starting operations from Bhubaneswar. Request a hopping flight between Bhubaneswar to Guwahati via Kolkata and back,2
"While flying from Delhi to Kolkata via spicejet SG-8255 .
My ears were unable to hear anything and paining continuously. I thought my ears will explode, I don't know the reason whether it's due to pressure of etc but this flight was one of my experience.
@USER you are bad. HTTPURL",1
"Hi @USER We booked a flight on the 19th of March 10:40 AM from Kolkata to Pune, which was cancelled. And we are not able to initiate the refund because the page is showing no flights were booked. HTTPURL",0
"@USER @USER You do nothing, we requested for direct flight kolkata-london, what happened to that?Please consider how much you have increased tickets cost and this service.",1
"@USER As stated, my concern is the traceability of the bag and to get this on the next 1st flight ✈️ to Kolkata so that I can dress up tomorrow morning appropriately. Tonight I’ll have to buy some clothes!! @USER",0
Thank you @USER for a lovely flight from Kolkata to Chennai on AI 785 this evening. Wonderful staff at Kolkata airport and on the aircraft made for good vibes all around! Keep it up 👍,2
@USER What cheap price? V stopped travelling by flight due to its high price. During UPA rule its price was so low that in ₹4000 v can reach from Mumbai to Dehradun for Haridwar. Even Mumbai Kolkata -Assam was very cheap. Full family travelled t,1
"Another flight will be from Gorakhpur to Kolkata, with many flight timings changing during the summer schedule HTTPURL",0
@USER #goIndiGo the flight 6e 663 from patna to kolkata is not even fully booked. This issue might be a way to make more money on the prt of @USER #goIndiGo @USER @USER @USER,0
UBER  MUST CLOSE ITS BIKE SERVICE IN Kolkata (W.B.)@USER @USER @USER,1
"ERRATIC #INSPIRATION:Perhaps taking cue from recent such incidents in flying #aeroplanes,an off-duty drunk TTE reportedly  peed on a woman’s head in Kolkata-Amritsar train when it was passing through 
#RaeBareli district in #UttarPradesh on #Sunday night.
#Life #Thursday #India HTTPURL",1
"@USER ji, on an observation of traffic in @USER &amp; on a general note, I believe the drivers need periodical grooming &amp; training. It's always messy &amp; chaotic on the road, every person is in a hurry. No maintaining of lane while drivi",1
@USER @USER @USER @USER @USER Don’t know why Indians always feel offended by common sense. and my comments were not even about crime. It’s just that I drove from Alipudur to Kolkata and there were children search,0
"@USER Never thought of it that way. I am aware that Kolkata has the longest local train network in the world as well. And I am counting public transport as the transport that can carry many people at once, therefore I did not count taxis and ricksh",2
"TBH, there is no space for 8 lane highways in Bengal....besides travelling 600 km in 5 hrs in a car is not wise. Nor everyone can do it.

Bengal's priority should be more superfast trains between north bengal &amp; Kolkata and expansion of the railway network &amp; more tracks",0
"@USER @USER
Sir i am traveling in this train to howrah which was supposed to reach howrah at 3.55 am but it is 
5 hours 53 minutes late now at 6.43 am does railway think we are on a joy ride, no value of our time sir i am not on a picni",1
"@USER @USER @USER @USER @USER @USER @USER @USER Study needed for vehicular movement to determine origin &amp; destination points

Based on which plan connection via outer edges

Kolkata didn't grow ",0
"@USER @USER @USER @USER @USER @USER @USER @USER Naming is wrong

This planned route, at its present form, is best suited for being a bypass road for Kolkata city

Ring road means internal city traff",0
"If there were local trains from the beginning in #Bengaluru  as in #Chennai #Mumbai #Kolkata
will there be that much of vehicles on roads ?
Administrative people forgotten future mobility &amp; denting earning from all walk of life by introducing metro. 
Who's earning.
Oops.",1
"@USER  sir
 9540485959
My mother in law traveling in Kolkata mail train no.12322. coach no. HA1/10 name manju singh.
Date of journey 13 march.her number is switched off since HTTPURL worry.provide  contact HTTPURL",0
"Today's Patna to Kolkata journey is going pathetic as AC isn't working in train no. 22241/Duronto EXP. @USER @USER must ensure the regular maintenance so that passengers won't suffer. If there's no provision of refund, then why such negligence is being occurred.",1
"@USER @USER Metro Transit has failed in Delhi and across India. Whereas Suburban train system continues to popular in Mumbai, Chennai and Kolkata. It is extremely dumb to not replicate the biggest highlights of suburban trainsets onto metro ",1
Train 05640 scheduled to depart from Katwa Jn. at 6:24 pm is delayed by 8 hours with no exact time of arrival from Kolkata. Is this some kind of joke? Pathetic condition of railways. At 12:30am sitting in station with no assurance. @USER @USER @USER,1
"Disgusting train service from Silchar-Kolkata (05639-SCL KOAA Special), Travelled from Silchar the train is still halting after every single station, it's already 6 hours late now, the bathroom conditions is worst, the water isn't available.
Train journey is curse.
@USER",1
"@USER @USER @USER @USER chennai to Kolkata esp till vijayawada can have one route only, in those routes quadrupling will be beneficial, two lines can be used for slow trains &amp; goods. Another two for high speed traf",0
"#MiddayNews |

After flights, it’s train. Off-duty TTE pees on woman, sacked

#RailwayPolice #Lucknow #Charbagh #Kolkata #NewsUpdate #TTE 

HTTPURL",1
Drunk Train Ticket Checker Allegedly Urinates On Woman Passenger's Head HTTPURL #Amritsar #Kolkata #Lucknow #Bihar #Railway #tourist #tourism #Travel @USER @USER @USER @USER #Asia #SoutheastAsia @USER @USER @USER,1
@USER @USER @USER Namastey! I booked my train ticket from tatanagar to Shalimar. Train is supposed to leave tatanagar at 6:22 a.m. I have a flight from Kolkata airport. Train is already running late by 3 hours 11 mins. I tried booking,1
"In a shocking incident, a drunk TTE was caught urinating on a woman passenger aboard the Akal-Takht Express. The incident took place at midnight as the train was en route from Amritsar to Kolkata.

#indianrailway #IRCTC #TTE #Kolkata #amritsar #train HTTPURL",1
"Drunk Ticket Checker Urinates On Woman Passenger Inside Amritsar-Kolkata Train

#AkalTakhtExpress #Amritsar #Kolkata #viralnews  #pragnews

HTTPURL",1
@USER @USER @USER @USER @USER @USER Plz make this train run on time or revise the time table &amp; make it arrive during morning hours. The timing of this train is extremely problematic &amp; inconvenient to,1
